                    Mult    Go   Rust    C   C++    C#   Java  Kotl  Cloj  JAI   Pyth  Lua    JS    TS   LooF  Luna
Starting prod.    |   5  |  10 |   4 |   2 |   4 |   6 |   5 |   6 |   4 |   8 |   9 |   9 |   8 |   7 |   5 |   6 |
Lasting prod.     |  10  |   7 |  10 |   3 |   2 |   4 |   0 |   7 |  10 |   8 |   4 |   4 |   0 |   6 |   0 |   7 |  (this can also be considred the 'safety' category)
Runtime speed     |   9  |   7 |  10 |  10 |  10 |   7 |   6 |   6 |   6 |  10 |  -5 |   1 |   3 |   3 |  -5 |   1 |
RS consistency    |   4  |   5 |  10 |  10 |  10 |   5 |   5 |   5 |   5 |  10 |   5 |   5 |   5 |   5 |   5 |  10 |  (Runtime Speed consistancy, basically garbage collection = 5, static = 10)
Compilation time  |   6  |  10 |   2 |   6 |   5 |   6 |   6 |   6 |   7 |  10 |  10 |  10 |  10 |   8 |   5 |   7 |
Language control  |   3  |   2 |   9 |   7 |   7 |   3 |   3 |   3 |  10 |  10 |   4 |   4 |   3 |   3 |   5 |   4 |
Syntax            |   7  |   8 |   9 |   6 |   0 |   7 |   7 |   8 |  -2 |   6 |   8 |   9 |   6 |   6 |   0 |   6 |
Learning time     |   0  |   8 |  -5 |   0 |  -2 |   4 |   5 |   5 |   0 |   5 |  12 |  12 |   8 |   5 |   7 |   5 |  (higher score means less time to learn)
Popularity        |   0  |   8 |   3 |   5 |   8 |   7 |   7 |   2 |   0 |   0 |  10 |   1 |  10 |   8 |   0 |   0 |
Simple features   |   5  |   4 |   8 |   3 |   7 |   7 |   5 |   5 |   8 |   8 |   6 |   5 |   5 |   7 |   1 |   4 |  (quality & quantity; manipulating values, TODO: ADD MORE EXAMPLES HERE, etc.)
Complex features  |   3  |   6 |   8 |   0 |   8 |   8 |   3 |   5 |   8 |   6 |   4 |   0 |   7 |   7 |   0 |   0 |  (quality & quantity; async/await, TODO: ADD MORE EXAMPLES HERE, etc.)
Dev tools         |   4  |   6 |   9 |   4 |   4 |   8 |   7 |   6 |   4 |   4 |   5 |   2 |   8 |   7 |   1 |   2 |  (quality & quantity; tools for writing code, testing code, debugging code, etc.)
Ecosystem         |   7  |   8 |   7 |   9 |  10 |   8 |   8 |   8 |   5 |   2 |  10 |   5 |  10 |  10 |   0 |   0 |  (quality & quantity)
Simplicity        |   2  |  10 |  -5 |   8 |  -5 |   5 |   7 |   5 |   8 |   5 |   7 |  10 |   5 |   3 |   7 |   6 |



// Acronyms / abbreviations:
// Kotl: Kotlin
// Cloj: Clojure
// Pyth: Python
// JS: Javascript
// TS: Typescript

// My languages:
// LooF
// Luna

// To add:
// Zig
// Nim
